266	세방전지	52600	-0.75%	9524	17.20	3.58
267	효성중공업	78000	-1.27%	9638	71.17	1.07
268	대성홀딩스	44700	-29.94%	20817	198.67	0.76
269	KCC글라스	44900	+0.90%	8447	7.63	6.64
270	KODEX 자동차	19625	+1.50%	113205	N/A	N/A
271	미원에스씨	140300	-0.21%	547	11.04	18.38
272	CJ CGV	14850	-1.33%	10335	-3.91	-55.24
273	한세실업	17540	-0.28%	13168	8.19	17.10
274	삼천리	171000	-29.92%	19327	14.08	3.58
275	신세계인터내셔날	19270	-0.98%	11248	5.82	15.29
276	케이카	14250	-1.38%	16156	22.58	11.65
277	KG케미칼	49400	-0.90%	84564	2.26	47.97
278	제주은행	21300	-4.05%	139788	30.00	4.40
279	대신증권	13270	+0.15%	1758	9.93	4.38
280	삼성 인버스 2X 천연가스 선물 ETN C	66890	+4.47%	4961	N/A	N/A
281	SBS	36450	-0.41%	4294	4.36	20.64
282	애경케미칼	13620	-1.23%	627157	11.02	8.47
283	대상	19010	-0.37%	2435	8.24	6.57
284	대한해운	2050	0.00%	57796	4.15	11.21
285	LX홀딩스	8510	-0.12%	7886	3.89	N/A
286	자화전자	29900	-0.99%	5398	-15.08	-11.90
287	동양생명	3990	-1.36%	41493	8.69	2.99
288	TIGER KOFR금리액티브(합성)	101385	0.00%	407	N/A	N/A
289	드림텍	9460	-0.84%	11202	9.77	17.24
290	바이오노트	6260	+1.29%	27567	1.91	21.48
291	한국단자	61200	0.00%	566	13.09	5.69
292	삼양홀딩스	74400	-0.53%	287	9.29	4.01
293	우리종금	726	-1.49%	271000	6.91	14.40
294	SPC삼립	72800	-0.68%	181	11.80	14.70
295	KODEX MSCI Korea TR	11005	0.00%	38	N/A	N/A
296	티웨이항공	3195	+0.47%	223183	-4.81	-222.35
297	보령	9030	+1.80%	32660	14.80	8.47
298	ACE 종합채권(AA-이상)KIS액티브	96780	+0.16%	1	N/A	N/A
299	한섬	24700	-0.80%	1053	4.94	9.56
300	SK디스커버리	31900	-1.09%	2816	1.52	16.34
301	프레스티지바이오파마	10140	-1.36%	11071	-4.18	-32.84
302	ARIRANG 200	33665	-0.03%	121	N/A	N/A
303	쏘카	18140	+0.06%	2949	-30.44	-9.10
304	HD현대에너지솔루션	52300	-2.79%	37558	9.66	17.27
305	세아제강지주	139100	-0.36%	252	2.07	20.56
306	한화투자증권	2685	-0.37%	53981	-10.74	-3.20
307	현대홈쇼핑	47850	-0.31%	351	6.65	4.50
308	ACE 미국S&P500	13895	-0.25%	22939	N/A	N/A
309	동원F&B	29700	+0.17%	1783	6.31	10.80
310	이수페타시스	9040	+3.91%	704399	5.58	58.92
311	KBSTAR 23-11 회사채(AA-이상)액티브	51525	0.00%	313	N/A	N/A
312	KBSTAR 단기통안채	107620	+0.01%	87677	N/A	N/A
313	HSD엔진	7890	-1.13%	52059	-12.56	-18.70
314	쿠쿠홈시스	25100	-0.59%	1392	4.91	17.66
315	QV 코스피 변동성 매칭형 양매도 ETN	7950	0.00%	0	N/A	N/A
316	DI동일	21350	-0.93%	14286	10.33	9.37
317	부광약품	7820	-0.64%	10149	-223.43	-0.93
318	삼성SDI우	342500	+1.33%	941	12.35	N/A
319	삼성 레버리지 WTI원유 선물 ETN	1370	-3.52%	21800	N/A	N/A
320	LG생활건강우	263500	-0.38%	251	19.73	N/A
321	애경산업	20800	-1.65%	3192	33.17	4.70
322	이아이디	3180	+3.08%	8361488	-3.08	-47.66
323	화신	15630	+0.97%	352753	7.36	23.00
324	일동제약	20250	-0.74%	27622	-3.77	-82.28
325	TIGER 단기채권액티브	51880	+0.01%	1357	N/A	N/A
326	티와이홀딩스	10600	-0.93%	810	6.04	6.31
327	쿠쿠홀딩스	15160	-0.79%	649	4.62	12.72
328	동일산업	221000	0.00%	4	24.54	5.33
329	엠씨넥스	29750	-0.34%	1832	23.28	7.56
330	파미셀	8860	-0.89%	19709	48.68	15.16
331	지누스	28050	-0.18%	3590	17.45	5.32
332	영진약품	2895	-1.86%	92222	-24.12	-22.55
333	KODEX 선진국MSCI World	21665	-0.09%	672	N/A	N/A
334	삼성화재우	165000	-0.66%	604	6.52	N/A
335	동아쏘시오홀딩스	82500	-1.20%	254	46.96	1.15
336	한화손해보험	4465	-1.98%	30799	2.24	27.68
337	신영증권	55200	0.00%	55	15.52	6.45
338	HANARO 200	33000	-0.03%	8	N/A	N/A
339	미래에셋증권2우B	3660	-0.14%	461	4.41	N/A
340	TIGER 24-10 회사채(A+이상)액티브	52675	+0.10%	7911	N/A	N/A
341	유안타증권	2555	-1.16%	13849	12.05	2.93
342	한국카본	11520	-1.12%	65881	24.99	5.11
343	LF	17270	0.00%	682	3.32	10.86
344	경동나비엔	34600	-1.98%	1093	9.41	11.07
345	고려제강	19730	-1.25%	6846	6.09	5.18
346	KOSEF 국고채10년	112685	+0.40%	571	N/A	N/A
347	신한 레버리지 WTI원유 선물 ETN(H)	980	-2.97%	3739	N/A	N/A
348	TIGER 차이나항셍테크	5560	-0.45%	128452	N/A	N/A
349	KOSEF 200TR	40330	+0.05%	1916	N/A	N/A
350	TIGER 글로벌리튬&2차전지SOLACTIVE(합성)	8795	-0.51%	6989	N/A	N/A
351	KODEX 미국S&P500TR	12290	-0.20%	45129	N/A	N/A
352	SK디앤디	21600	-0.46%	11964	6.82	11.47
353	미래에셋생명	2705	-0.18%	6191	9.33	3.56
354	JW중외제약	20800	+0.24%	4383	15.81	14.45
355	롯데손해보험	1526	0.00%	25160	-7.52	-8.70
356	TIGER 미국달러단기채권액티브	11595	+0.74%	13463	N/A	N/A
357	진원생명과학	6030	-1.47%	73247	-12.28	-19.67
358	NICE	12340	-0.40%	1936	12.72	4.90
359	화승엔터프라이즈	7670	-1.16%	21491	-46.48	-1.86
360	동아에스티	53900	-1.10%	964	34.27	2.04
361	콘텐트리중앙	23650	-0.63%	18567	-10.47	-23.94
362	ACE 미국나스닥100	13245	+0.08%	27690	N/A	N/A
363	세아홀딩스	112200	-0.71%	10	3.64	6.14
364	코람코에너지리츠	5050	0.00%	127	38.85	2.80
365	유니드	65600	-1.06%	5909	4.51	13.10
366	신성이엔지	2125	-1.16%	770787	12.80	16.30
367	남해화학	8770	+0.69%	41240	9.22	9.65
368	빙그레	44150	-1.34%	539	16.94	4.53
369	KB스타리츠	4280	-0.35%	416	-69.03	N/A
370	SGC에너지	29550	-1.17%	3457	3.84	17.44
371	삼양사	41950	-0.83%	433	6.50	5.33
372	롯데정보통신	28050	-0.71%	3029	14.17	7.11
373	ARIRANG 종합채권(AA-이상)액티브	103395	0.00%	0	N/A	N/A
374	삼화콘덴서	41250	-0.72%	3208	14.72	13.69
375	ACE 200	33365	+0.03%	221	N/A	N/A
376	에어부산	3625	-1.76%	46810	-2.07	-116.96
377	삼성FN리츠	5460	-0.36%	18930	N/A	N/A
378	KODEX 미국나스닥100TR	11415	+0.13%	50136	N/A	N/A
379	신한알파리츠	5690	-0.87%	10859	32.15	1.39
380	서연이화	15430	-0.52%	76044	7.49	8.03
381	아모레퍼시픽우	39450	-2.11%	1655	20.26	N/A
382	현대그린푸드	12290	-1.68%	41869	N/A	N/A
383	조선내화	10380	+1.27%	180047	10.15	6.03
384	송원산업	17210	-0.81%	3442	3.13	21.53
385	KODEX 미국FANG플러스(H)	21985	-0.36%	17065	N/A	N/A
386	TIGER KRX2차전지K-뉴딜	18450	+0.19%	54424	N/A	N/A
387	KODEX 단기변동금리부채권액티브	106445	+0.03%	46	N/A	N/A
388	조일알미늄	3210	-0.93%	640794	22.61	10.08
389	풀무원	10550	-1.03%	7741	-23.92	-4.23
390	쎌마테라퓨틱스	6410	0.00%	0	-43.02	-46.91
391	케이씨텍	19090	-0.99%	353	7.19	13.66
392	BGF	4130	-0.96%	31814	16.72	1.50
393	세아제강	139100	-1.07%	1247	2.48	21.12
394	DB	1938	-2.12%	465065	69.21	1.58
395	신영증권우	55200	0.00%	4	15.52	N/A
396	HDC	6500	-0.61%	9436	-75.58	-0.21
397	포스코스틸리온	64700	+22.31%	678835	17.09	6.84
398	국도화학	42800	-1.61%	4392	5.19	9.03
399	SIMPAC	5870	-2.49%	141207	5.04	13.28
400	TYM	2510	-1.18%	299663	3.89	33.53
401	KODEX 코스닥150	12610	+0.08%	597274	N/A	N/A
402	아세아시멘트	9710	-1.02%	815	5.95	6.79
403	세진중공업	6630	-2.21%	73106	32.50	7.09
404	한미글로벌	34300	-3.79%	101328	16.06	15.11
405	코오롱플라스틱	9870	-0.40%	16022	10.51	14.98
406	맵스리얼티1	4015	-0.99%	1875	N/A	N/A
407	한화리츠	5260	-2.59%	12854	N/A	N/A
408	풍산홀딩스	36950	-3.02%	11851	5.26	7.94
409	TIGER 일본니케이225	16870	-0.35%	2150	N/A	N/A
410	웅진씽크빅	3115	-1.42%	17146	119.81	0.85
411	한국자산신탁	2895	-1.03%	14914	3.32	12.15
412	영풍제지	17800	+5.01%	229460	116.34	5.91
413	한농화성	22550	-1.53%	436468	41.15	5.71
414	휴스틸	6250	-0.48%	87955	1.20	29.59
415	한일홀딩스	11230	-0.18%	111	3.87	6.40
416	한화갤러리아	1781	-1.60%	279436	N/A	N/A
417	유나이티드제약	21150	0.00%	2569	7.59	14.18
418	효성화학	107500	+0.47%	1053	-0.84	-135.41
419	HL홀딩스	32550	-0.61%	606	109.97	0.31
420	일성신약	25600	-1.16%	25579	3.24	26.59
421	현대퓨처넷	3085	-0.80%	10440	-64.27	-0.71
422	남양유업	470500	+0.11%	68	-5.32	-10.12
423	신대양제지	8380	-1.76%	260	7.10	8.99
424	스카이라이프	7060	-0.56%	3391	15.09	2.77
425	SK렌터카	7140	-1.24%	180	16.26	4.15
426	퍼시스	29350	+0.51%	1	57.44	N/A
427	신도리코	33450	-0.45%	43	7.49	4.73
428	잇츠한불	15280	-0.13%	1391	-49.13	-1.83
429	한국토지신탁	1325	-0.53%	39289	13.95	2.36
430	아이마켓코리아	9970	-0.89%	1292	14.99	6.16
431	한일현대시멘트	17240	-0.69%	422	8.75	10.38
432	코리아써키트	14050	+0.21%	10436	5.60	15.53
433	대신증권우	12720	-0.31%	478	9.52	N/A
434	서흥	28500	-0.35%	1289	9.70	8.40
435	TIGER 글로벌자율주행&전기차SOLACTIVE	9605	-0.62%	4843	N/A	N/A
436	교보증권	5060	-0.78%	887	7.55	2.93
437	KISCO홀딩스	20150	-0.74%	370	4.22	7.99
438	SNT다이내믹스	9800	-2.87%	36697	14.16	3.51
439	YG PLUS	5130	+1.18%	22807	27.88	8.39
440	이연제약	18060	-1.53%	4511	44.93	3.02
441	수산인더스트리	22750	-1.94%	8868	6.46	11.47
442	조광피혁	48850	+0.41%	108	53.56	1.61
443	E1	47300	-0.84%	508	2.29	10.31
444	KEC	2240	0.00%	138571	14.83	7.67
445	LG헬로비전	4165	+1.09%	27319	-12.40	-4.07
446	대한제강	13060	-1.14%	1449	2.56	18.50
447	SK증권	679	-0.59%	127153	33.95	1.52
448	KOSEF 200	33045	+0.09%	47208	N/A	N/A
449	TIGER 미국S&P500선물(H)	47270	-0.92%	1489	N/A	N/A
450	한화3우B	14250	0.00%	2306	1.06	N/A
451	STX	11300	+15.31%	7113963	-23.84	-23.17
452	일양약품	16760	-1.30%	4583	17.02	8.39
453	흥아해운	1328	-0.82%	7661	14.13	19.41
454	지역난방공사	27500	0.00%	2	-1.73	-10.55
455	대원제약	14470	+0.91%	14432	9.90	13.59
456	KODEX 반도체	27390	+0.94%	25296	N/A	N/A
457	CJ4우(전환)	74700	+0.54%	532	13.18	N/A
458	에스엠벡셀	2830	-3.25%	129031	30.43	18.57
459	농심홀딩스	67800	-1.31%	2642	9.22	3.23
460	방림	7400	-0.67%	5972	112.12	2.78
461	이리츠코크렙	4940	-0.80%	765	33.61	3.80
462	HJ중공업	3750	-0.92%	3358	-6.23	-12.28
463	삼진제약	22300	-0.67%	1520	14.16	N/A
464	일신방직	13260	-0.38%	3156	2.79	13.80
465	에이프로젠	1214	-2.02%	132022	-1.89	-90.82
466	아세아제지	34250	-1.30%	1116	3.25	12.43
467	LX하우시스	34150	-0.44%	1718	-2.92	-14.25
468	미래에셋 레버리지 원유선물혼합 ETN(H)	7405	-3.83%	703	N/A	N/A
